Airplane.damage.,Airplane.fate.,DateCrash,YearCrash,First.flight.,AccidentCountry,Nature,Operator,Phase,Departcountry,Destcountry,Type,Total.airframe.hrs.,Status.,FatalCrew,FatalPass,OccupantsCrew,OccupantsPass,FatalTotal,OccupantsTotal
Damaged beyond repair,NA,Saturday 11 March 1950,1950,1944,United States of America,Military,United States Air Force - USAF,Unknown (UNK),?,?,Douglas C-47B-1-DK (DC-3),NA,,1,0,4,0,1,4
Damaged beyond repair,NA,Saturday 11 March 1950,1950,1942,Colombia,Unknown,Avianca,Takeoff (TOF),Colombia,?,Douglas C-47-DL (DC-3),NA,,0,0,,,0,
Destroyed,Written off (damaged beyond repair),Sunday 12 March 1950,1950,1947,United Kingdom,Int'l Non Scheduled Passenger,Fairflight,Approach (APR),Ireland,United Kingdom,Avro 689 Tudor 5,NA,Final,5,75,5,78,80,83
Damaged beyond repair,NA,Thursday 16 March 1950,1950,1945,Tanzania,Military,Royal Air Force - RAF,Landing (LDG),?,Tanzania,Douglas C-47B-25-DK Dakota C.4,NA,,0,0,,,0,
Damaged beyond repair,NA,Tuesday 21 March 1950,1950,1946,United Kingdom,Test,Bristol Aeroplane Company,Maneuvering (MNV),United Kingdom,United Kingdom,Bristol 170 Freighter 21,NA,,1,3,1,3,4,4
Damaged beyond repair,NA,Tuesday 21 March 1950,1950,,United States of America,Military,United States Air Force - USAF,Standing (STD),-,-,Fairchild C-82A Packet,NA,,0,0,0,0,0,0
Damaged beyond repair,NA,Thursday 23 March 1950,1950,1944,United States of America,Military,United States Air Force - USAF,Takeoff (TOF),United States of America,?,Douglas C-47D,NA,,2,0,,,2,
None,NA,Friday 24 March 1950,1950,,Germany,Domestic Scheduled Passenger,CSA Ceskoslovenské Aerolinie,En route (ENR),Czech Republic,Czech Republic,Douglas DC-3,NA,,0,0,,,0,
None,NA,Friday 24 March 1950,1950,,Germany,Domestic Scheduled Passenger,CSA Ceskoslovenské Aerolinie,En route (ENR),Slovakia,Czech Republic,Douglas DC-3,NA,,0,0,,,0,
Damaged beyond repair,NA,Saturday 25 March 1950,1950,1944,Turkey,Domestic Scheduled Passenger,Devlet Hava Yollari - DHY,Landing (LDG),Turkey,Turkey,Douglas C-47A-75-DL (DC-3),NA,,4,11,4,11,15,15
Damaged beyond repair,NA,Saturday 25 March 1950,1950,1941,Papua New Guinea,Cargo,NA,Approach (APR),?,Papua New Guinea,Lockheed 414-08 Hudson IVA,NA,,1,0,3,0,1,3
Damaged beyond repair,NA,Sunday 26 March 1950,1950,,Singapore,Military,Royal Air Force - RAF,Standing (STD),Singapore,?,Short S.25 Sunderland GR.5,NA,,1,1,9,2,2,11
Damaged beyond repair,NA,Tuesday 28 March 1950,1950,1943,Poland,Unknown,LOT Polskie Linie Lotnicze,Unknown (UNK),?,?,Douglas C-47A-40-DL (DC-3),NA,,,,,,,
Damaged beyond repair,NA,Tuesday 28 March 1950,1950,1945,Japan,Military,United States Air Force - USAF,En route (ENR),Japan,Japan,Douglas C-47B-20-DK (DC-3),NA,,3,0,4,0,3,4
Damaged beyond repair,NA,Tuesday 28 March 1950,1950,1945,Canada,Military,United States Air Force - USAF,Landing (LDG),?,Canada,Douglas C-47D,NA,,,,,,,
Destroyed,Written off (damaged beyond repair),Tuesday 28 March 1950,1950,1945,Canada,Military,United States Air Force - USAF,En route (ENR),Canada,United States of America,Douglas C-47D (DC-3),NA,,,,,,4,5
Damaged beyond repair,NA,Tuesday 28 March 1950,1950,,United States of America,Military,United States Air Force - USAF,Unknown (UNK),?,?,Douglas C-47A-85-DL (DC-3),NA,,,,,,,
Destroyed,Written off (damaged beyond repair),Tuesday 28 March 1950,1950,1946-06-15  (3 years 10 months),France,Test,SEMAF,En route (ENR),France,France,Latécoère 631,20,Final,12,0,12,0,12,12
Damaged beyond repair,NA,Wednesday 29 March 1950,1950,,Poland,Unknown,LOT Polskie Linie Lotnicze,Unknown (UNK),?,?,Lisunov Li-2T,NA,,,,,,,
Damaged beyond repair,NA,Wednesday 5 April 1950,1950,1944,India,Cargo,Deccan Airways,En route (ENR),India,India,Douglas C-47A-20-DK (DC-3),NA,,3,0,3,0,3,3
Damaged beyond repair,NA,Wednesday 5 April 1950,1950,1946,United States of America,Military,United States Navy,En route (ENR),?,?,Martin JRM-3 Mars,NA,,0,0,,,0,
Damaged beyond repair,NA,Sunday 9 April 1950,1950,,Atlantic Ocean,Ferry/positioning,Caribbean International Airways,En route (ENR),Bahamas,Jamaica,Consolidated PBY-5 Catalina,NA,,0,0,2,2,0,4
Damaged beyond repair,NA,Monday 10 April 1950,1950,1944,United States of America,Military,United States Air Force - USAF,Unknown (UNK),?,?,Douglas C-47A-30-DK (DC-3),NA,,,,,,,
Damaged beyond repair,NA,Monday 10 April 1950,1950,,Pakistan,Military,Royal Pakistan Air Force,Unknown (UNK),?,?,Douglas C-47 (DC-3),NA,,,,,,12,12
Substantial,Repaired,Thursday 13 April 1950,1950,1947,United Kingdom,International Scheduled Passenger,British European Airways - BEA,En route (ENR),United Kingdom,France,Vickers 610 Viking 1B,NA,Final,0,0,4,28,0,32
Destroyed,Written off (damaged beyond repair),Saturday 15 April 1950,1950,,Colombia,Cargo,Limitada Nacional de Servicio Aéreo - LANSA,En route (ENR),Colombia,Colombia,Douglas C-47 (DC-3),NA,,2,0,2,0,2,2
Damaged beyond repair,NA,Tuesday 18 April 1950,1950,1943,India,Unknown,Bharat Airways,Unknown (UNK),?,?,Douglas C-47A-20-DL (DC-3),NA,,,,,,,
Damaged beyond repair,NA,Friday 21 April 1950,1950,1945,Japan,Military,United States Air Force - USAF,En route (ENR),Japan,Japan,Douglas C-54D-10-DC (DC-4),NA,,8,27,8,27,35,35
Damaged beyond repair,NA,Sunday 23 April 1950,1950,,Russia,Unknown,"GUSMP, Directorate of Polar Aviation",Landing (LDG),?,Russia,Focke-Wulf Fw 200C-4,318,,0,0,,,0,
Damaged beyond repair,NA,Monday 24 April 1950,1950,,Bolivia,Unknown,Lloyd Aéreo Boliviano - LAB,Unknown (UNK),?,?,Curtiss C-46-CU Commando,NA,,0,0,2,0,0,2
Damaged beyond repair,NA,Wednesday 26 April 1950,1950,1945,United States of America,Military,United States Air Force - USAF,En route (ENR),United States of America,?,Douglas C-54D-5-DC (DC-4),NA,,0,0,4,0,0,4
Damaged beyond repair,NA,Wednesday 26 April 1950,1950,1945,United States of America,Military,United States Air Force - USAF,En route (ENR),United States of America,United States of America,Douglas C-47B-45-DK (DC-3),NA,,2,0,2,0,2,2
Damaged beyond repair,NA,Saturday 29 April 1950,1950,1944,Canada,Military,Royal Canadian Air Force - RCAF,Unknown (UNK),?,?,Douglas C-47A Dakota III (DC-3),NA,,,,,,,
Damaged beyond repair,NA,Monday 1 May 1950,1950,1944,Burkina Faso,Domestic Non Scheduled Passenger,French High Commissioner to Cameroon,En route (ENR),Nigeria,Mali,Douglas C-47A-85-DL (DC-3),NA,,0,0,,,0,
Destroyed,Written off (damaged beyond repair),Tuesday 2 May 1950,1950,1942,Ecuador,International Scheduled Passenger,Avianca,En route (ENR),Ecuador,Ecuador,Douglas C-47-DL (DC-3),NA,,3,12,3,12,15,15
Damaged beyond repair,NA,Wednesday 3 May 1950,1950,1945,Iraq,Military,Royal Air Force - RAF,Landing (LDG),?,Iraq,Douglas C-47B-30-DK Dakota C.4,NA,,0,0,,,0,
Damaged beyond repair,NA,Wednesday 3 May 1950,1950,1945,United States of America,Military,United States Air Force - USAF,Unknown (UNK),?,?,Douglas C-47B-50-DK (DC-3),NA,,,,,,,
Damaged beyond repair,NA,Sunday 7 May 1950,1950,,Australia,Military,Royal Australian Air Force - RAAF,Approach (APR),Australia,Australia,Consolidated PBY-5A Catalina,NA,,5,0,6,0,5,6
Damaged beyond repair,NA,Monday 15 May 1950,1950,,Norway,Domestic Scheduled Passenger,Det Norske Luftfartselskap - DNL,Initial climb (ICL),Norway,Norway,Shorts S.25 Sandringham 6,NA,,0,0,7,26,0,33
Damaged beyond repair,NA,Wednesday 17 May 1950,1950,1944,India,Unknown,Airways (India),Unknown (UNK),?,?,Douglas C-47A-20-DK (DC-3),NA,,,,,,,
Damaged beyond repair,NA,Wednesday 17 May 1950,1950,1944,United States of America,Military,United States Air Force - USAF,Landing (LDG),?,United States of America,Douglas C-47D,NA,,1,0,,,1,
Damaged beyond repair,NA,Wednesday 17 May 1950,1950,1944,United States of America,Military,United States Air Force - USAF,Unknown (UNK),?,?,Douglas C-47D,NA,,0,0,4,0,0,4
Damaged beyond repair,NA,Monday 22 May 1950,1950,,Bulgaria,Military,Bulgarian Air Force,En route (ENR),?,?,Junkers Ju-52/3m,NA,,6,0,7,0,6,7
Damaged beyond repair,NA,Wednesday 24 May 1950,1950,1943,Colombia,Domestic Scheduled Passenger,Limitada Nacional de Servicio Aéreo - LANSA,En route (ENR),Colombia,Colombia,Douglas C-47A-55-DL (DC-3),NA,,3,23,3,24,26,27
Damaged beyond repair,NA,Wednesday 24 May 1950,1950,1946,United States of America,Unknown,Ford Motor Co.,Takeoff (TOF),United States of America,?,Grumman G-73 Mallard,NA,,,,,,1,6
Damaged beyond repair,NA,Friday 26 May 1950,1950,1944,Brazil,Unknown,VASP - Viação Aérea São Paulo,Takeoff (TOF),Brazil,Brazil,Douglas C-47B-5-DK (DC-3),NA,,0,0,,24,0,
Damaged beyond repair,NA,Friday 26 May 1950,1950,1950,Malta,Military,Royal Air Force - RAF,Takeoff (TOF),Malta,?,Vickers Valetta C.1,NA,,0,0,,,0,
Damaged beyond repair,NA,Saturday 27 May 1950,1950,1945,United States of America,Cargo,Regina Cargo Airlines,Takeoff (TOF),United States of America,United States of America,Curtiss C-46F-1-CU Commando,NA,Final,1,0,2,0,1,2
Damaged beyond repair,NA,Tuesday 30 May 1950,1950,1943,Brazil,Domestic Scheduled Passenger,Aerovias Brasil,En route (ENR),Brazil,Brazil,Douglas C-47-DL (DC-3),NA,,4,9,4,11,13,15
Damaged beyond repair,NA,Thursday 1 June 1950,1950,1945,,Military,Royal Air Force - RAF,Unknown (UNK),?,?,Douglas C-47B Dakota C.4,NA,,,,,,,
Damaged beyond repair,NA,Friday 2 June 1950,1950,,United Kingdom,Military,Royal Air Force - RAF,Standing (STD),-,-,Avro 685 York C.1,NA,,0,0,,,0,
Damaged beyond repair,NA,Monday 5 June 1950,1950,1945,Atlantic Ocean,Domestic Non Scheduled Passenger,Westair Transport,En route (ENR),Puerto Rico,United States of America,Curtiss C-46F-1-CU Commando,2890,Final,0,28,3,62,28,65
Damaged beyond repair,NA,Friday 9 June 1950,1950,1936,Colombia,Int'l Non Scheduled Passenger,New Tribes Mission,En route (ENR),Jamaica,Venezuela,Douglas DC-3-178,36534,Final,3,12,3,12,15,15
Damaged beyond repair,NA,Saturday 10 June 1950,1950,1944,United States of America,Military,United States Air Force - USAF,Takeoff (TOF),United States of America,?,Douglas C-47D,NA,,0,0,,,0,18
Damaged beyond repair,NA,Monday 12 June 1950,1950,1943,Argentina,Unknown,Aerolineas Argentinas,Landing (LDG),?,Argentina,Douglas C-47A-1-DK (DC-3),NA,,0,0,,,0,
Damaged beyond repair,NA,Monday 12 June 1950,1950,1946,Bahrain,International Scheduled Passenger,Air France,Approach (APR),Pakistan,Bahrain,Douglas DC-4-1009,NA,Final,6,40,8,44,46,52
Damaged beyond repair,NA,Monday 12 June 1950,1950,,Madagascar,Military,L'Armée de L'Air,En route (ENR),Madagascar,Madagascar,Junkers Ju-52/3m,NA,,,,,,7,16
Damaged beyond repair,NA,Wednesday 14 June 1950,1950,1946,Bahrain,International Scheduled Passenger,Air France,Approach (APR),Pakistan,Bahrain,Douglas DC-4-1009,NA,,3,37,8,45,40,53
Damaged beyond repair,NA,Thursday 15 June 1950,1950,1945,Mexico,Unknown,Pan American World Airways (Pan Am),Landing (LDG),?,?,Curtiss C-46F-1-CU Commando,NA,,0,0,2,0,0,2
Damaged beyond repair,NA,Monday 19 June 1950,1950,1944,United States of America,Military,United States Air Force - USAF,Takeoff (TOF),United States of America,?,Douglas C-47B-5-DK (DC-3),NA,,1,0,2,0,1,2
Damaged beyond repair,NA,Friday 23 June 1950,1950,1943,United States of America,Domestic Scheduled Passenger,Northwest Orient Airlines,En route (ENR),United States of America,United States of America,Douglas DC-4,15902,Final,3,55,3,55,58,58
Damaged beyond repair,NA,Friday 23 June 1950,1950,1944,Mexico,Domestic Scheduled Passenger,Transportes Aéreos de Jalisco - TAJ,Takeoff (TOF),Mexico,Mexico,Douglas C-47A-80-DL (DC-3),NA,,1,3,,,4,
Damaged beyond repair,NA,Sunday 25 June 1950,1950,1945,South Korea,Military,United States Air Force - USAF,Standing (STD),-,-,Douglas C-54D-10-DC (DC-4),NA,,0,0,,,0,
Damaged beyond repair,NA,Monday 26 June 1950,1950,1946,Australia,Domestic Scheduled Passenger,Australian National Airways - ANA,En route (ENR),Australia,Australia,Douglas DC-4-1009,NA,,5,24,5,24,29,29
Damaged beyond repair,NA,Wednesday 28 June 1950,1950,,United States of America,Military,United States Air Force - USAF,En route (ENR),United States of America,United States of America,Fairchild C-119C Flying Boxcar,NA,,4,0,4,26,4,30
Damaged beyond repair,NA,Thursday 29 June 1950,1950,,United States of America,Military,United States Air Force - USAF,Unknown (UNK),?,?,Fairchild C-119B Flying Boxcar,NA,,0,0,5,0,0,5
Damaged beyond repair,NA,Friday 30 June 1950,1950,1942,Venezuela,Unknown,RANSA - Rutas Aéreas Nacionales SA,Unknown (UNK),?,?,Douglas C-47-DL (DC-3),NA,,0,0,,,0,
Damaged beyond repair,NA,Friday 30 June 1950,1950,1949,France,Test,SNCASE,Initial climb (ICL),France,?,SNCASE SE.2010 Armagnac,NA,,,,,,2,11
Damaged beyond repair,NA,Monday 3 July 1950,1950,,Brazil,Military,Força Aérea Brasileira - FAB,Unknown (UNK),?,?,Consolidated C-10A (PBY-5A) Catalina,NA,,,,,,2,11
Destroyed,Written off (damaged beyond repair),Sunday 9 July 1950,1950,1943,Morocco,Int'l Non Scheduled Passenger,Aigle Azur,Initial climb (ICL),Morocco,Senegal,Douglas C-47A-DL (DC-3),NA,,4,18,4,25,22,29
Damaged beyond repair,NA,Monday 10 July 1950,1950,,South Korea,Military,United States Air Force - USAF,Unknown (UNK),?,?,Douglas C-47,NA,,0,0,,,0,
Damaged beyond repair,NA,Thursday 13 July 1950,1950,1945,South Korea,Military,United States Air Force - USAF,Taxi (TXI),?,?,Douglas C-47B-45-DK (DC-3),NA,,,,,,,
Damaged beyond repair,NA,Monday 17 July 1950,1950,1944,India,Domestic Scheduled Passenger,Indian National Airways,En route (ENR),India,India,Douglas C-47A-90-DL (DC-3),NA,,4,18,4,18,22,22
Damaged beyond repair,NA,Tuesday 18 July 1950,1950,1944,Angola,Domestic Scheduled Passenger,DTA-Direcção de Exploração dos Transp. Aéreos,Approach (APR),Angola,Angola,Douglas C-47A-25-DK (DC-3),NA,,3,9,3,9,12,12
Damaged beyond repair,NA,Wednesday 19 July 1950,1950,,Japan,Military,Royal Air Force - RAF,Standing (STD),?,?,Short Sunderland GR.5,NA,,0,0,,,0,
Damaged beyond repair,NA,Friday 21 July 1950,1950,,United States of America,Military,United States Air Force - USAF,Landing (LDG),?,United States of America,Fairchild C-82A Packet,NA,,,,,,,
Damaged beyond repair,NA,Sunday 23 July 1950,1950,,United States of America,Military,United States Air Force - USAF,Initial climb (ICL),United States of America,United States of America,Curtiss C-46D-10-CU Commando,NA,,4,35,4,35,39,39
Substantial,Repaired,Monday 24 July 1950,1950,1943,Israel,Int'l Non Scheduled Passenger,Air Liban,En route (ENR),Israel,Lebanon,Douglas C-47A-40-DL (DC-3),NA,,0,3,3,25,3,28
Destroyed,Written off (damaged beyond repair),Thursday 27 July 1950,1950,1945,Japan,Military,United States Air Force - USAF,En route (ENR),Japan,?,Douglas C-47D,NA,,3,22,3,23,25,26
Destroyed,Written off (damaged beyond repair),Friday 28 July 1950,1950,1946,Brazil,Domestic Scheduled Passenger,Panair do Brasil,En route (ENR),Brazil,Brazil,Lockheed L-049 Constellation,NA,,7,44,7,44,51,51
Damaged beyond repair,NA,Saturday 29 July 1950,1950,1946,Algeria,International Scheduled Passenger,Compagnie Air Transport - CAT,En route (ENR),Algeria,Mali,Bristol 170 Freighter 21,NA,,4,22,4,22,26,26
Damaged beyond repair,NA,Saturday 29 July 1950,1950,1945,United States of America,Military,United States Air Force - USAF,En route (ENR),United States of America,United States of America,Douglas C-54D-10-DC (DC-4),NA,,5,1,5,1,6,6
Damaged beyond repair,NA,Saturday 29 July 1950,1950,1943,Slovakia,Unknown,CSA Ceskoslovenské Aerolinie,En route (ENR),Slovakia,?,Douglas DC-3C,NA,,1,0,2,0,1,2
Damaged beyond repair,NA,Sunday 30 July 1950,1950,1945,United States of America,Cargo,Flying Tiger Line,Takeoff (TOF),United States of America,United States of America,Curtiss C-46F-1-CU Commando,2180,Final,0,0,2,2,0,4
Damaged beyond repair,NA,Sunday 30 July 1950,1950,1946,France,Scheduled Passenger,Air France,Landing (LDG),?,France,SNCASE SE.161/P7 Languedoc,NA,,0,0,7,24,0,31
Damaged beyond repair,NA,Sunday 30 July 1950,1950,1949,Kazakhstan,Domestic Scheduled Passenger,"Aeroflot, Kazakstan Civil Aviation Directorate",Initial climb (ICL),Kazakhstan,?,Ilyushin 12,953,,6,19,6,19,25,25
Damaged beyond repair,NA,Sunday 30 July 1950,1950,1941,Brazil,Domestic Scheduled Passenger,SAVAG - Viação Aérea Gaucha,En route (ENR),Brazil,Brazil,Lockheed 18-10 Lodestar,NA,,4,8,4,8,12,12
Damaged beyond repair,NA,Monday 31 July 1950,1950,,United Kingdom,Military,Royal Air Force - RAF,Approach (APR),?,United Kingdom,Handley Page Hastings C.1,NA,,0,0,4,0,0,4
Damaged beyond repair,NA,Monday 31 July 1950,1950,,United States of America,Military,United States Air Force - USAF,Unknown (UNK),?,?,Fairchild C-82A-20-FA Packet,NA,,,,,,,
Damaged beyond repair,NA,Thursday 3 August 1950,1950,1944,United States of America,Military,United States Air Force - USAF,Takeoff (TOF),United States of America,?,Douglas C-47D,NA,,0,0,3,2,0,5
Damaged beyond repair,NA,Friday 4 August 1950,1950,1944,United States of America,Military,United States Marine Corps,Approach (APR),United States of America,United States of America,Curtiss R5C-1 Commando (C-46),NA,,0,0,6,0,0,6
Damaged beyond repair,NA,Saturday 5 August 1950,1950,1943,Slovakia,Domestic Scheduled Passenger,CSA Ceskoslovenské Aerolinie,Approach (APR),Slovakia,Slovakia,Douglas C-47A-45-DL (DC-3),NA,,0,0,3,20,0,23
None,NA,Friday 11 August 1950,1950,,Germany,Unknown,CSA Ceskoslovenské Aerolinie,En route (ENR),?,?,unknown,NA,,0,0,,,0,5
Unknown,NA,Tuesday 22 August 1950,1950,,United States of America,Domestic Scheduled Passenger,American Airlines,En route (ENR),United States of America,United States of America,Douglas DC-6,NA,Final,0,1,5,54,1,59
Damaged beyond repair,NA,Thursday 24 August 1950,1950,1945,South Korea,Military,United States Air Force - USAF,Landing (LDG),?,South Korea,Douglas C-47B-50-DK (DC-3),NA,,,,,,,
Damaged beyond repair,NA,Friday 25 August 1950,1950,1945,Malaysia,Military,Royal Air Force - RAF,Maneuvering (MNV),Malaysia,?,Douglas C-47B-35-DK Dakota C.4,NA,,3,9,3,9,12,12
Damaged beyond repair,NA,Saturday 26 August 1950,1950,,United States of America,Military,United States Navy,Taxi (TXI),?,?,Consolidated PBY-5A Catalina,NA,,,,,,,
Damaged beyond repair,NA,Wednesday 30 August 1950,1950,1945,Pacific Ocean,Military,Royal Air Force - RAF,En route (ENR),Singapore,Hong Kong,Douglas Dakota IV (DC-3),NA,,,,,,9,10
Destroyed,Written off (damaged beyond repair),Thursday 31 August 1950,1950,1950,Egypt,International Scheduled Passenger,Trans World Airlines - TWA,En route (ENR),Egypt,Italy,Lockheed L-749A Constellation,1100,Final,7,48,7,48,55,55
Damaged beyond repair,NA,Friday 1 September 1950,1950,,United States of America,Military,United States Air Force - USAF,En route (ENR),United States of America,United States of America,Fairchild C-119C Flying Boxcar,NA,,7,0,9,0,7,9
Damaged beyond repair,NA,Monday 4 September 1950,1950,1937,United States of America,Domestic Scheduled Passenger,Robinson Airlines,En route (ENR),United States of America,United States of America,Douglas DC-3-229,19023,Final,3,13,3,20,16,23
Substantial,Repaired,Monday 4 September 1950,1950,1948,United States of America,Domestic Scheduled Passenger,Northwest Orient Airlines,Takeoff (TOF),United States of America,United States of America,Martin 2-0-2,NA,Final,0,0,3,15,0,18
Damaged beyond repair,NA,Wednesday 6 September 1950,1950,1945,Japan,Military,United States Air Force - USAF,En route (ENR),Japan,?,Douglas C-54D-5-DC (DC-4),NA,,,,,,11,11
Damaged beyond repair,NA,Friday 8 September 1950,1950,1944,Brazil,Unknown,Transportes Aéreos Bandeirantes,Landing (LDG),Brazil,Brazil,Curtiss C-46A-45-CU Commando,NA,,0,0,3,0,0,3
Damaged beyond repair,NA,Sunday 10 September 1950,1950,,U.S. Minor Outlying Islands,Military,United States Navy,Unknown (UNK),Japan,United States of America,Douglas R5D-3 (DC-4),NA,,0,0,,,0,
Damaged beyond repair,NA,Tuesday 12 September 1950,1950,1943,Vietnam,Unknown,Air Outre-Mer,Unknown (UNK),?,?,Douglas C-47-DL (DC-3),NA,,,,,,,
Damaged beyond repair,NA,Tuesday 12 September 1950,1950,1944,United States of America,Military,United States Air Force - USAF,En route (ENR),United States of America,United States of America,Douglas C-47A-80-DL (DC-3),NA,,5,0,5,0,5,5
Damaged beyond repair,NA,Wednesday 13 September 1950,1950,,Japan,Military,United States Air Force - USAF,Unknown (UNK),?,?,Fairchild C-119B Flying Boxcar,NA,,,,,,,
Damaged beyond repair,NA,Thursday 14 September 1950,1950,1944,Iceland,Cargo,Loftleidir,En route (ENR),Luxembourg,Iceland,Douglas C-54B-20-DO (DC-4),NA,,0,0,6,0,0,6
Damaged beyond repair,NA,Thursday 14 September 1950,1950,1943,Iran,Ferry/positioning,Iran Air,Unknown (UNK),Iran,?,Douglas C-47A-30-DL (DC-3),NA,,2,7,2,7,9,9
Damaged beyond repair,NA,Thursday 14 September 1950,1950,,Japan,Military,United States Air Force - USAF,Unknown (UNK),?,?,Fairchild C-119C Flying Boxcar,NA,,,,,,,
Damaged beyond repair,NA,Sunday 17 September 1950,1950,,United Kingdom,Military,Royal Air Force - RAF,Standing (STD),-,-,Short Sunderland GR.5,NA,,0,0,0,0,0,0
Damaged beyond repair,NA,Tuesday 19 September 1950,1950,1945,Marshall Islands,Military,United States Navy,En route (ENR),Marshall Islands,Japan,Douglas R5D-3 (DC-4),NA,,7,19,7,19,26,26
Damaged beyond repair,NA,Thursday 21 September 1950,1950,1944,Croatia,Domestic Scheduled Passenger,Jugoslovenski Aerotransport - JAT,Landing (LDG),Serbia,Croatia,Douglas C-47A-25-DK (DC-3),NA,,4,6,4,7,10,11
Damaged beyond repair,NA,Thursday 21 September 1950,1950,1950,Yemen,Military,Royal Air Force - RAF,Unknown (UNK),?,Yemen,Vickers Valetta C.1,NA,,0,0,4,0,0,4
Damaged beyond repair,NA,Monday 25 September 1950,1950,,Japan,Military,United States Air Force - USAF,Standing (STD),?,?,Fairchild C-119B Flying Boxcar,NA,,0,0,,,0,
Damaged beyond repair,NA,Tuesday 26 September 1950,1950,1944,India,Unknown,Air-India,Unknown (UNK),?,?,Douglas C-47A-20-DK (DC-3),NA,,,,,,,
Damaged beyond repair,NA,Tuesday 26 September 1950,1950,1945,Japan,Military,United States Air Force - USAF,Initial climb (ICL),Japan,South Korea,Douglas C-54D-1-DC (DC-4),NA,,5,18,8,43,23,51
Damaged beyond repair,NA,Tuesday 26 September 1950,1950,,Spain,Military,Ejército del Aire,Unknown (UNK),?,?,CASA 352 (Junkers Ju-52),NA,,,,,,5,5
Damaged beyond repair,NA,Wednesday 27 September 1950,1950,1947,Argentina,Military,Fuerza Aérea Argentina - FAA,Standing (STD),?,?,Vickers 615 Viking 1B,NA,,,,,,,
Damaged beyond repair,NA,Saturday 30 September 1950,1950,1950,United States of America,Executive,John W. Galbreath,Takeoff (TOF),United States of America,?,Grumman G-73 Mallard,NA,,1,0,1,3,1,4
Damaged beyond repair,NA,Monday 2 October 1950,1950,,Bolivia,Unknown,Lloyd Aéreo Boliviano - LAB,Unknown (UNK),?,?,Curtiss C-46,NA,,,,,,,
Substantial,Repaired,Monday 2 October 1950,1950,1945,United States of America,Cargo,National Airlines,Landing (LDG),United States of America,United States of America,Curtiss C-46F-1-CU Commando,NA,Final,0,0,2,0,0,2
Damaged beyond repair,NA,Tuesday 3 October 1950,1950,,Sri Lanka,Military,Royal Air Force - RAF,Taxi (TXI),?,?,Short Sunderland GR.5,NA,,0,0,,,0,
Substantial,Repaired,Thursday 5 October 1950,1950,1947,United Kingdom,Test,Bristol Aeroplane Company,Takeoff (TOF),United Kingdom,?,Bristol 170 Freighter 21,NA,Preliminary,0,0,,,0,
Damaged beyond repair,NA,Thursday 12 October 1950,1950,1944,Australia,Cargo,John Fairfax & Sons,Unknown (UNK),Australia,?,Douglas C-47A-20-DK (DC-3),NA,,2,0,2,0,2,2
Damaged beyond repair,NA,Thursday 12 October 1950,1950,,Japan,Military,United States Air Force - USAF,Landing (LDG),?,Japan,Fairchild C-119B-10-FA Flying Boxcar,NA,,3,0,4,4,3,8
Damaged beyond repair,NA,Thursday 12 October 1950,1950,1944,Venezuela,Passenger,RANSA - Rutas Aéreas Nacionales SA,Landing (LDG),?,Venezuela,Douglas C-47A-20-DK (DC-3),NA,,0,0,4,16,0,20
Damaged beyond repair,NA,Friday 13 October 1950,1950,1947,United States of America,Training,Northwest Orient Airlines,En route (ENR),United States of America,United States of America,Martin 2-0-2,5289,Final,3,3,3,3,6,6
Damaged beyond repair,NA,Friday 13 October 1950,1950,1944,Morocco,Passenger,Air Atlas,En route (ENR),Morocco,Algeria,Douglas C-47A-90-DL (DC-3),NA,,3,1,3,4,4,7
Damaged beyond repair,NA,Friday 13 October 1950,1950,1944,United States of America,Military,United States Air Force - USAF,Unknown (UNK),?,?,Douglas VC-47D,NA,,4,0,4,0,4,4
Missing,Presumed damaged beyond repair,Sunday 15 October 1950,1950,1943,Pacific Ocean,Military,United States Air Force - USAF,En route (ENR),South Korea,Japan,Douglas C-47A-75-DL (DC-3),NA,,4,0,4,0,4,4
Damaged beyond repair,NA,Tuesday 17 October 1950,1950,1943,United Kingdom,Domestic Scheduled Passenger,British European Airways - BEA,En route (ENR),United Kingdom,United Kingdom,Douglas C-47A-1-DK Dakota C.3,NA,Final,4,24,5,24,28,29
Damaged beyond repair,NA,Thursday 19 October 1950,1950,1944,Saudi Arabia,Military,United States Air Force - USAF,Takeoff (TOF),Saudi Arabia,?,Douglas C-47B-15-DK (DC-3),NA,,,,,,,
Damaged beyond repair,NA,Friday 20 October 1950,1950,1943,United States of America,Military,United States Air Force - USAF,Unknown (UNK),?,?,Douglas C-47A-DK (DC-3),NA,,,,,,,
Damaged beyond repair,NA,Wednesday 25 October 1950,1950,1943,Singapore,Military,Royal Air Force - RAF,Landing (LDG),?,Singapore,Avro 685 York C.1,NA,,0,0,,,0,
Damaged beyond repair,NA,Thursday 26 October 1950,1950,1944,United States of America,Military,United States Air Force - USAF,En route (ENR),United States of America,United States of America,Douglas C-47B-10-DK (DC-3),NA,,3,1,3,1,4,4
Damaged beyond repair,NA,Tuesday 31 October 1950,1950,1947,United Kingdom,International Scheduled Passenger,British European Airways - BEA,Approach (APR),France,United Kingdom,Vickers 610 Viking 1B,NA,Final,3,25,4,26,28,30
Damaged beyond repair,NA,Thursday 2 November 1950,1950,,United States of America,Military,United States Air Force - USAF,En route (ENR),?,?,Fairchild C-119C Flying Boxcar,NA,,0,0,,,0,
